"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Itgbl11",1.08239960412055e-71,0.763029771845751,0.774,0.403,1.8999360251128e-67,"5","Itgbl1"
"Pid1",5.09382761446845e-60,0.761923925549183,0.575,0.266,8.94119561167648e-56,"5","Pid1"
"Gas1",1.95722974844015e-42,0.75924936765382,0.749,0.53,3.435525377437e-38,"5","Gas1"
"Mmp21",1.07550056025485e-61,0.71485861375859,0.97,0.827,1.88782613341533e-57,"5","Mmp2"
"Lamb2",4.59766685015808e-54,0.706116949597722,0.529,0.249,8.07028462208247e-50,"5","Lamb2"
"Dpt1",2.17881409218795e-44,0.705453594609891,0.95,0.808,3.8244723760175e-40,"5","Dpt"
"Mgp2",4.54771427779712e-43,0.693680383091374,0.78,0.484,7.98260287181729e-39,"5","Mgp"
"Col1a22",1.18485805521802e-52,0.67752017340647,0.998,0.991,2.07978134432419e-48,"5","Col1a2"
"Mmp23",1.76293096382724e-54,0.675066431356046,0.854,0.644,3.09447272080596e-50,"5","Mmp23"
"Fxyd62",3.01992499843974e-41,0.663864312368882,0.872,0.575,5.30087434976128e-37,"5","Fxyd6"
"Igf11",2.65571662022779e-47,0.6576213227444,0.858,0.615,4.66157938348585e-43,"5","Igf1"
"Htra31",2.61353890493119e-13,0.645511017097032,0.619,0.517,4.58754483982573e-09,"5","Htra3"
"Cpxm11",1.19778398407881e-42,0.645158291420555,0.964,0.867,2.10247022725354e-38,"5","Cpxm1"
"Gpnmb",1.23066661217066e-100,0.641889041303118,0.355,0.068,2.16018910434316e-96,"5","Gpnmb"
"Ogn1",2.91116132663144e-19,0.63912390918978,0.347,0.192,5.10996147663616e-15,"5","Ogn"
"Abi3bp1",9.44302688602569e-28,0.632878407887921,0.844,0.711,1.65753450930409e-23,"5","Abi3bp"
"Selenop1",2.87508152555141e-43,0.626259652930921,0.946,0.844,5.04663060180039e-39,"5","Selenop"
"Mdk1",5.67835210820841e-36,0.622673937824344,0.848,0.629,9.96721145553821e-32,"5","Mdk"
"Lgi21",7.52458693074762e-44,0.615725562965428,0.551,0.285,1.32079074395413e-39,"5","Lgi2"
"Rnase4",5.5964310707352e-42,0.609564084770757,0.832,0.648,9.8234154584615e-38,"5","Rnase4"
"Ntrk2",2.96416474495503e-117,0.606612499197807,0.244,0.025,5.20299837681956e-113,"5","Ntrk2"
"Ccl191",1.60890237997229e-19,0.595229553831115,0.864,0.777,2.82410634756536e-15,"5","Ccl19"
"Pltp2",9.82353693278773e-37,0.593425420084172,0.84,0.629,1.72432543781223e-32,"5","Pltp"
"Ebf1",4.8351255279755e-82,0.59164663895021,0.301,0.059,8.48709583925539e-78,"5","Ebf1"
"Inmt1",8.01676067770113e-06,0.581427379933151,0.11,0.061,0.140718200175688,"5","Inmt"
"Itih5",7.08041078306785e-99,0.576535209602945,0.174,0.014,1.2428245047519e-94,"5","Itih5"
"Igfbp6",7.09030860397333e-53,0.567378598240144,0.21,0.044,1.24456186925544e-48,"5","Igfbp6"
"Ccn21",1.23812549294397e-19,0.551809903403535,0.844,0.706,2.17328167776455e-15,"5","Ccn2"
"Matn2",4.64782650003818e-32,0.546286565897737,0.503,0.287,8.15832985551701e-28,"5","Matn2"
"Rarres21",1.88297293718183e-40,0.545099511090406,0.992,0.984,3.30518239663527e-36,"5","Rarres2"
"Spon11",1.42117008890562e-32,0.532879253855331,0.527,0.286,2.49457985705603e-28,"5","Spon1"
"Mgst11",3.30325405581769e-33,0.520059691792384,0.635,0.401,5.79820184417679e-29,"5","Mgst1"
"Ptgis2",2.0328599396471e-35,0.515109617412181,0.948,0.845,3.56827905206256e-31,"5","Ptgis"
"Pdpn",1.12624302042204e-82,0.514367937806091,0.311,0.064,1.9768943737468e-78,"5","Pdpn"
"Myh10",7.23685437631196e-23,0.514215402456328,0.637,0.476,1.27028504867404e-18,"5","Myh10"
"Adamts2",2.04690979389268e-29,0.513608911692464,0.93,0.884,3.59294076121983e-25,"5","Adamts2"
"Vgll3",5.44242233181483e-37,0.502743675689485,0.511,0.267,9.55308391903457e-33,"5","Vgll3"
"Colec121",1.49436519457613e-33,0.501431864409248,0.882,0.687,2.62305922603949e-29,"5","Colec12"
"Col1a12",1.44762604110817e-28,0.498405393273726,0.998,0.938,2.54101798995717e-24,"5","Col1a1"
"Apoe1",1.64980185124723e-31,0.495892618218598,1,0.999,2.89589718949426e-27,"5","Apoe"
"Prnp",7.29186503578322e-25,0.494109808056246,0.874,0.748,1.27994106973103e-20,"5","Prnp"
"Col12a1",5.23941730456539e-34,0.493441627675982,0.355,0.156,9.19674919470363e-30,"5","Col12a1"
"Cavin31",9.30280865841329e-28,0.49294262394198,0.848,0.661,1.63292200381129e-23,"5","Cavin3"
"Col6a61",2.6150675984315e-27,0.492770855845598,0.703,0.453,4.59022815552682e-23,"5","Col6a6"
"Clec3b",1.26067300271217e-61,0.492692573212276,0.182,0.029,2.21285932166067e-57,"5","Clec3b"
"Dkk31",4.33937731429359e-26,0.486134804884484,0.814,0.64,7.61690899977953e-22,"5","Dkk3"
"Cdc42ep31",7.98697423318678e-17,0.485004140991263,0.581,0.415,1.40195358715128e-12,"5","Cdc42ep3"
"Pdgfrl1",4.70679792862501e-13,0.484369474471564,0.735,0.632,8.26184240411549e-09,"5","Pdgfrl"
"Col6a11",6.26181969459355e-31,0.481267472655369,0.962,0.884,1.09913721099201e-26,"5","Col6a1"
"Smoc21",7.28900975396712e-27,0.480347434888498,0.928,0.844,1.27943988211385e-22,"5","Smoc2"
"Timp21",1.07980516728773e-52,0.474969222281669,1,0.985,1.89538201014015e-48,"5","Timp2"
"Il11ra11",1.60147499926553e-29,0.474772203775295,0.93,0.839,2.81106906621078e-25,"5","Il11ra1"
"Celf2",4.72803581644311e-30,0.471356339074796,0.513,0.282,8.29912126860258e-26,"5","Celf2"
"Svep11",1.96094560193459e-20,0.469922825056714,0.727,0.576,3.44204781507578e-16,"5","Svep1"
"Podn1",3.70525081137012e-25,0.469492513268957,0.407,0.215,6.50382674919797e-21,"5","Podn"
"Ahnak21",8.31797618137053e-25,0.467183238196436,0.601,0.41,1.46005435911597e-20,"5","Ahnak2"
"S100a62",4.06574299432472e-31,0.464157449297659,0.99,0.856,7.13659867793819e-27,"5","S100a6"
"Gstm11",5.3977501163954e-11,0.458754026318002,0.739,0.64,9.47467077930884e-07,"5","Gstm1"
"Rgs7bp",3.04002665876655e-135,0.457712350892599,0.22,0.015,5.33615879413293e-131,"5","Rgs7bp"
"Col6a21",2.08022915584091e-20,0.454541467490161,0.874,0.768,3.65142623724755e-16,"5","Col6a2"
"Steap3",1.7824636939107e-56,0.451096444606303,0.329,0.096,3.12875852192145e-52,"5","Steap3"
"Cpz1",1.30021253395435e-25,0.447399781528526,0.459,0.26,2.28226306085008e-21,"5","Cpz"
"Oxct11",8.26753882525347e-24,0.447049857430759,0.772,0.608,1.45120108999674e-19,"5","Oxct1"
"Svil",1.55450251888063e-16,0.441273572236158,0.784,0.682,2.72861827139116e-12,"5","Svil"
"Fbln52",1.07937366927679e-05,0.439790207336397,0.575,0.49,0.189462460168155,"5","Fbln5"
