"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Eef1b2",6.96361434411728e-198,0.869085924979924,0.995,0.982,1.26507981789579e-193
"Nkd2",1.05647239763145e-132,0.867358335160281,0.436,0.036,1.91929340477705e-128
"Nr4a2",1.02451470176755e-129,0.862845439479202,0.503,0.069,1.8612358587011e-125
"Nav1",1.47769431806977e-103,0.861476559911637,0.894,0.519,2.68452726763736e-99
"Atp5g1",6.94529462463154e-129,0.859761613020932,0.969,0.881,1.26175167445681e-124
"Tnfaip2",2.3282779376053e-130,0.855574504546631,0.613,0.125,4.22978252924754e-126
"Mtch1",2.73404756112124e-121,0.84880834048499,0.961,0.743,4.96694420428895e-117
"Kdelr2",1.38457017994238e-120,0.848627023968481,0.979,0.833,2.51534864590133e-116
"Ak1",6.79532521322587e-180,0.84473804778714,0.648,0.089,1.23450673148674e-175
"Dap",4.8970979176811e-114,0.841928876179603,0.902,0.547,8.89655778705125e-110
"Piezo2",6.07088006908673e-98,0.840907867653031,0.785,0.332,1.10289678215099e-93
"Sec61a1",6.32647168164058e-105,0.839090789043804,0.85,0.453,1.14933011040364e-100
"Vim",2.05550471365048e-149,0.836421628013558,1,0.988,3.73423541328882e-145
"Tmem258",4.89772102731818e-107,0.834284912625933,0.93,0.662,8.89768979032893e-103
"Krtcap2",4.61777004213308e-141,0.830729151503374,0.972,0.825,8.38910283554316e-137
"Creb3l1",1.2601772506289e-117,0.818552242868538,0.709,0.228,2.28936401121752e-113
"Adarb1",1.10279460778584e-133,0.814387194445854,0.65,0.15,2.00344696396454e-129
"Crip1",1.99853018825152e-105,0.797515858529365,0.967,0.775,3.63072979299653e-101
"Ptprb",8.58374695359667e-134,0.795835168956084,0.425,0.03,1.55940930905991e-129
"Mdk",2.39803808335765e-94,0.794155623166213,0.467,0.096,4.35651578603584e-90
"Rpn1",3.4307288976636e-93,0.776454495355072,0.916,0.63,6.23260518838546e-89
"Adcy7",3.03313968883263e-177,0.774017214605268,0.478,0.014,5.51030487270224e-173
"Mmp2",8.86459005146462e-51,0.772416265792736,0.823,0.528,1.61043007464958e-46
"Dpysl3",1.72334086584563e-128,0.771608237913349,0.596,0.12,3.13079335098175e-124
"Cd63",1.34515574432098e-129,0.766007222230777,0.993,0.95,2.44374444070793e-125
"Serpina3n",7.51825192298631e-76,0.763831404953487,0.701,0.298,1.36584082684892e-71
"Il6",3.01721168327391e-89,0.756295598169705,0.364,0.048,5.48136846500372e-85
"Bicc1",2.61690932849548e-93,0.755133343170647,0.949,0.66,4.75413917707773e-89
"Ptgfrn",5.20817763515021e-117,0.748181767833618,0.743,0.239,9.46169630977739e-113
