"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Serpind12",4.51941213450188e-52,0.622778231018332,0.873,0.344,8.5213515796033e-48,"18","Serpind1"
"Ces2e1",5.28448504026203e-58,0.621645331958773,0.854,0.303,9.96389654341405e-54,"18","Ces2e"
"Ptprf2",1.50920026051207e-76,0.619329922754606,0.713,0.195,2.84559709119551e-72,"18","Ptprf"
"Plpp32",1.77564547466897e-71,0.616547311143194,0.731,0.209,3.34797954248834e-67,"18","Plpp3"
"Angptl42",4.90073889809429e-82,0.615717869380334,0.713,0.186,9.24034319235678e-78,"18","Angptl4"
"mt-Nd31",4.24010527443038e-17,0.611152442345838,0.989,0.872,7.99471849493849e-13,"18","mt-Nd3"
"Hrg2",3.1915961293632e-32,0.609948501654632,0.925,0.487,6.01775450191432e-28,"18","Hrg"
"1110008F13Rik",2.27831726695693e-167,0.609534436688138,0.272,0.014,4.29576720684729e-163,"18","1110008F13Rik"
"8430408G22Rik",1.74551678985615e-245,0.609038143813406,0.243,0.005,3.29117190727377e-241,"18","8430408G22Rik"
"Fga3",1.65627165749316e-31,0.607571379513304,1,0.837,3.12290021020335e-27,"18","Fga"
"Rnf149",6.13365610401457e-97,0.606767089175813,0.362,0.049,1.15650085841195e-92,"18","Rnf149"
"Mug22",8.09200436426748e-48,0.602873731343384,0.854,0.343,1.52574742288263e-43,"18","Mug2"
"Myeov2",1.9004720102234e-116,0.601228118103691,0.25,0.019,3.58333997527621e-112,"18","Myeov2"
"Azgp12",1.57585748530101e-36,0.600500700571386,0.996,0.707,2.97127928853506e-32,"18","Azgp1"
"Ugt3a2",1.65525251065525e-84,0.600341416739475,0.619,0.143,3.12097860884047e-80,"18","Ugt3a2"
"Cyp4a101",1.16456518024272e-66,0.598653768235947,0.496,0.116,2.19578764734764e-62,"18","Cyp4a10"
"Selt",5.35255631626918e-213,0.597242680161262,0.243,0.007,1.00922449343255e-208,"18","Selt"
"Pemt1",1.21039847083031e-37,0.596588361911753,0.877,0.415,2.28220631675055e-33,"18","Pemt"
"Slc26a11",4.11212674503254e-82,0.594550392318217,0.679,0.17,7.75341497775886e-78,"18","Slc26a1"
"Cd1641",1.3559799076231e-57,0.591211968790801,0.828,0.293,2.55670011582336e-53,"18","Cd164"
