"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dek",1.09580798296014e-38,1.25132180556636,0.899,0.495,1.90670589035065e-34,"8","Dek"
"Ptgr1",1.89800417435894e-36,0.291803283179769,0.303,0.045,3.30252726338456e-32,"8","Ptgr1"
"Tubg1",3.20905428522183e-36,0.414499028737961,0.454,0.093,5.58375445628599e-32,"8","Tubg1"
"Hat11",3.85652963151444e-36,0.56928404266322,0.487,0.112,6.71036155883513e-32,"8","Hat1"
"Jpt11",5.32915082856448e-36,1.42107738039946,0.866,0.466,9.2727224417022e-32,"8","Jpt1"
"Clic11",1.42791186508247e-35,1.08005558001658,0.958,0.767,2.4845666452435e-31,"8","Clic1"
"Cmc2",3.45738439788873e-35,0.708234956442982,0.672,0.205,6.01584885232638e-31,"8","Cmc2"
"Rfc2",4.51896702826528e-35,0.615150685964832,0.538,0.138,7.86300262918159e-31,"8","Rfc2"
"Sae1",4.93981805310802e-35,0.706407796589493,0.739,0.247,8.59528341240796e-31,"8","Sae1"
"Psip1",7.03866421957928e-35,0.762215698158726,0.79,0.291,1.2247275742068e-30,"8","Psip1"
"Mcm4",7.06703483319474e-35,0.450559986224675,0.429,0.088,1.22966406097589e-30,"8","Mcm4"
"Txn13",8.2317959198203e-35,0.894413957390872,0.992,0.907,1.43233249004873e-30,"8","Txn1"
"Dtymk",1.67113157466386e-34,0.957879823544832,0.84,0.392,2.90776893991512e-30,"8","Dtymk"
"Nup37",3.66858427797213e-34,0.374523751629267,0.412,0.081,6.38333664367151e-30,"8","Nup37"
"Lsm5",6.01729799139475e-34,0.706055586574348,0.866,0.359,1.04700985050269e-29,"8","Lsm5"
"Miip",9.0106474980041e-34,0.295924623334065,0.311,0.05,1.56785266465271e-29,"8","Miip"
"Ranbp11",9.63708238474051e-34,1.01411659229946,0.966,0.652,1.67685233494485e-29,"8","Ranbp1"
"Ckap5",3.19929070793404e-33,0.710527171505377,0.664,0.207,5.56676583180522e-29,"8","Ckap5"
"Anp32e",8.05169616921928e-33,0.739207134434415,0.672,0.214,1.40099513344415e-28,"8","Anp32e"
"Plp2",1.76747230101041e-32,0.741788478622357,0.613,0.185,3.07540180375812e-28,"8","Plp2"
"Nasp",2.1629500118737e-32,0.504064138252215,0.588,0.159,3.76353302066023e-28,"8","Nasp"
"Rbm31",3.38665012255795e-32,0.835107469854226,1,0.904,5.89277121325083e-28,"8","Rbm3"
"Hist1h1e",3.52261062593777e-32,1.29239363979725,0.429,0.105,6.12934248913172e-28,"8","Hist1h1e"
"Impa2",4.57405223915152e-32,0.297240304229716,0.336,0.06,7.95885089612364e-28,"8","Impa2"
"Ppih",5.98832584676851e-32,0.438099183998671,0.437,0.095,1.04196869733772e-27,"8","Ppih"
"Mlf1",1.40787965673881e-31,0.362277655342996,0.269,0.041,2.44971060272553e-27,"8","Mlf1"
"Hspb6",1.62197889185302e-31,0.251022868640985,0.252,0.037,2.82224327182425e-27,"8","Hspb6"
"Prdx4",1.79554379539022e-31,1.0705617591133,0.899,0.58,3.12424620397898e-27,"8","Prdx4"
"Hint11",4.25203233456495e-31,0.686973590587553,0.983,0.933,7.39853626214301e-27,"8","Hint1"
"Eri11",4.93073236849147e-31,0.423340909021399,0.429,0.097,8.57947432117515e-27,"8","Eri1"
"Cbx3",6.16922411293794e-31,0.917559954295842,0.966,0.667,1.0734449956512e-26,"8","Cbx3"
"Anp32b",8.16762255571041e-31,0.946782082145151,0.941,0.693,1.42116632469361e-26,"8","Anp32b"
"Tpm22",8.97610062208382e-31,0.949239889883386,0.899,0.521,1.56184150824259e-26,"8","Tpm2"
"Calm2",1.77265473324306e-30,1.13739137204106,0.975,0.895,3.08441923584293e-26,"8","Calm2"
