"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rab31",1.12615759589745e-07,0.449476161973402,0.193,0.105,0.00172797621514504,"Kupffer cell","Rab31"
"Rin22",1.2641976550561e-07,0.396904133798419,0.198,0.108,0.00193978488191807,"Kupffer cell","Rin2"
"Cdc42se14",1.26503693988225e-07,0.412015463394007,0.193,0.107,0.00194107268055533,"Kupffer cell","Cdc42se1"
"Pabpc14",1.27395728271624e-07,0.322922717914377,0.726,0.609,0.0019547600545998,"Kupffer cell","Pabpc1"
"Nars1",1.27688486938447e-07,0.393455984897698,0.23,0.133,0.00195925214358353,"Kupffer cell","Nars"
"Khdrbs12",1.44962670783631e-07,0.472265346290005,0.269,0.167,0.00222430722050404,"Kupffer cell","Khdrbs1"
"Aldh22",1.57041454650195e-07,0.303831647978327,0.663,0.506,0.00240964408015259,"Kupffer cell","Aldh2"
"Scamp2",1.63585034817854e-07,0.333998786885505,0.154,0.077,0.00251004877424516,"Kupffer cell","Scamp2"
"Sepn11",1.71126018924243e-07,0.311750776066293,0.11,0.047,0.00262575763437358,"Kupffer cell","Sepn1"
"Spred11",1.74997975347366e-07,0.394644233629151,0.167,0.086,0.00268516893372998,"Kupffer cell","Spred1"
"Tpp11",1.75662058229746e-07,0.445470218281097,0.352,0.235,0.00269535862147723,"Kupffer cell","Tpp1"
"Nup88",1.76016029695253e-07,0.30309401096192,0.102,0.043,0.00270078995964397,"Kupffer cell","Nup88"
"Gba1",1.85435261061782e-07,0.283522722191006,0.123,0.056,0.00284531864573198,"Kupffer cell","Gba"
"Mavs",1.89041823254309e-07,0.321741650407545,0.102,0.043,0.00290065773601411,"Kupffer cell","Mavs"
"Pdia62",2.00126282190604e-07,0.454428313300714,0.334,0.225,0.00307073767393263,"Kupffer cell","Pdia6"
"Gapvd1",2.3735385333342e-07,0.385793446556577,0.193,0.106,0.003641957525548,"Kupffer cell","Gapvd1"
"Abr",2.39273004271397e-07,0.349146392422368,0.104,0.045,0.00367140497754031,"Kupffer cell","Abr"
"Atp1b32",2.47164567370081e-07,0.843600146850183,0.452,0.33,0.00379249312172653,"Kupffer cell","Atp1b3"
"Ywhaz",2.50528053396574e-07,0.401060802671162,0.46,0.338,0.00384410245131703,"Kupffer cell","Ywhaz"
"Pald1",2.59970582561041e-07,0.426412063355639,0.133,0.065,0.00398898861881661,"Kupffer cell","Pald1"
"Gm102632",2.77287374508427e-07,0.453935306141802,0.29,0.186,0.0042546974744573,"Kupffer cell","Gm10263"
"Brox1",2.82808924937329e-07,0.382466298817018,0.154,0.079,0.00433942014423838,"Kupffer cell","Brox"
"Dhx9",3.09895717596022e-07,0.346896219134177,0.151,0.076,0.00475503989079336,"Kupffer cell","Dhx9"
"Glb1",3.21857416836587e-07,0.323598298491681,0.11,0.048,0.00493858020394059,"Kupffer cell","Glb1"
"Tmcc11",3.35533107580771e-07,0.384556044932056,0.23,0.135,0.00514842000271934,"Kupffer cell","Tmcc1"
"Larp4b",3.52967868370838e-07,0.407447702469246,0.235,0.14,0.00541593897228213,"Kupffer cell","Larp4b"
"9530068E07Rik1",3.7009466121297e-07,0.479947926540588,0.23,0.137,0.00567873248165182,"Kupffer cell","9530068E07Rik"
"Cltc2",3.70497013479258e-07,0.447607361114248,0.499,0.385,0.00568490617482573,"Kupffer cell","Cltc"
"Rsad21",3.80300506198688e-07,0.298186686949388,0.128,0.06,0.00583533096711267,"Kupffer cell","Rsad2"
"Abcc5",3.89677464320063e-07,0.359956995280205,0.123,0.057,0.00597921101252704,"Kupffer cell","Abcc5"
