,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Epor,4.65E-51,0.814161846,0.179,0.019,7.13E-47,6,Epor
Slco2b1,5.11E-37,0.812240529,0.267,0.056,7.83E-33,6,Slco2b1
Smtn1,8.25E-32,0.811210039,0.292,0.073,1.27E-27,6,Smtn
Acvr2a,5.29E-64,0.809129001,0.229,0.024,8.11E-60,6,Acvr2a
Slc25a42,2.92E-27,0.80741517,0.717,0.36,4.48E-23,6,Slc25a4
Hoxb3os,6.07E-52,0.80726898,0.225,0.029,9.31E-48,6,Hoxb3os
Sqrdl1,1.47E-31,0.806261944,0.304,0.079,2.25E-27,6,Sqrdl
Adgra3,3.54E-49,0.806015407,0.233,0.033,5.43E-45,6,Adgra3
Nid13,2.76E-26,0.803575369,0.488,0.191,4.24E-22,6,Nid1
Dbp3,6.78E-25,0.803131409,0.579,0.261,1.04E-20,6,Dbp
Oat1,2.86E-42,0.802242114,0.412,0.11,4.39E-38,6,Oat
Apold1,1.35E-45,0.800481273,0.25,0.041,2.07E-41,6,Apold1
Astn2,1.01E-109,0.798661702,0.192,0.007,1.55E-105,6,Astn2
Tns13,3.01E-29,0.796116321,0.613,0.261,4.63E-25,6,Tns1
Amd12,3.15E-32,0.795632217,0.279,0.069,4.84E-28,6,Amd1
Ehd21,4.26E-101,0.792794746,0.179,0.006,6.54E-97,6,Ehd2
Atp9a,3.20E-36,0.792435301,0.25,0.051,4.90E-32,6,Atp9a
Ubb3,9.44E-24,0.788624567,0.95,0.85,1.45E-19,6,Ubb
Vegfc,1.47E-72,0.787087932,0.212,0.017,2.26E-68,6,Vegfc
Tmem108,1.12E-83,0.786758896,0.192,0.011,1.72E-79,6,Tmem108
Cdc42ep4,2.01E-33,0.786670788,0.346,0.092,3.08E-29,6,Cdc42ep4
Rtn1,1.86E-72,0.780908625,0.192,0.014,2.85E-68,6,Rtn1
Ptprs,2.88E-44,0.776678644,0.192,0.025,4.42E-40,6,Ptprs
Ptov1,1.32E-25,0.774559432,0.354,0.118,2.03E-21,6,Ptov1
Loxl11,2.46E-95,0.773463033,0.162,0.005,3.77E-91,6,Loxl1
Prkcdbp1,5.68E-106,0.77336036,0.208,0.009,8.71E-102,6,Prkcdbp
Art4,3.07E-58,0.77136243,0.208,0.022,4.71E-54,6,Art4
Acap11,3.05E-48,0.771300205,0.262,0.043,4.68E-44,6,Acap1
Lrrk1,4.04E-37,0.770535495,0.304,0.07,6.20E-33,6,Lrrk1
Ergic31,1.96E-24,0.76702101,0.483,0.195,3.01E-20,6,Ergic3
Disp2,9.32E-82,0.766579191,0.171,0.008,1.43E-77,6,Disp2
Adgrl1,1.35E-32,0.766190362,0.242,0.051,2.07E-28,6,Adgrl1
Dtx3,2.23E-33,0.7653545,0.254,0.055,3.42E-29,6,Dtx3
Syde11,3.36E-43,0.765289852,0.242,0.04,5.16E-39,6,Syde1
C23,1.97E-39,0.76507541,0.229,0.04,3.02E-35,6,C2
Itgb11,6.88E-23,0.765073225,0.683,0.365,1.06E-18,6,Itgb1
Yaf2,2.97E-29,0.764050384,0.371,0.116,4.56E-25,6,Yaf2
Aldh1a12,1.60E-51,0.762543537,0.404,0.087,2.45E-47,6,Aldh1a1
Dag11,1.64E-20,0.762142666,0.354,0.135,2.51E-16,6,Dag1
Fut82,5.77E-49,0.761628234,0.229,0.032,8.85E-45,6,Fut8
St51,5.17E-37,0.760321442,0.288,0.063,7.94E-33,6,St5
Arhgap52,1.67E-49,0.759149797,0.25,0.038,2.56E-45,6,Arhgap5
Gns1,2.58E-19,0.7576443,0.512,0.239,3.96E-15,6,Gns
Gstm13,3.84E-43,0.756890097,0.725,0.3,5.90E-39,6,Gstm1
Daam2,8.98E-84,0.756588062,0.167,0.008,1.38E-79,6,Daam2
Ppib1,6.42E-25,0.755175734,0.721,0.39,9.85E-21,6,Ppib
Bmp41,2.10E-76,0.754814097,0.179,0.011,3.23E-72,6,Bmp4
Ablim2,1.41E-80,0.752924682,0.171,0.009,2.16E-76,6,Ablim2
Ogn1,2.98E-90,0.752501916,0.158,0.006,4.57E-86,6,Ogn
Fkbp92,7.09E-37,0.750706484,0.462,0.137,1.09E-32,6,Fkbp9
Abhd21,3.31E-10,0.750003991,0.238,0.108,5.08E-06,6,Abhd2
Ccdc31,3.89E-81,0.749916307,0.179,0.01,5.96E-77,6,Ccdc3
Nsg11,8.62E-72,0.749291563,0.204,0.016,1.32E-67,6,Nsg1
Mprip1,9.40E-26,0.748418829,0.446,0.165,1.44E-21,6,Mprip
Asph1,2.88E-40,0.747131532,0.242,0.043,4.42E-36,6,Asph
Rtn4rl1,8.92E-56,0.747131109,0.171,0.015,1.37E-51,6,Rtn4rl1
Hpse,4.49E-30,0.745143985,0.267,0.065,6.90E-26,6,Hpse
Klf152,4.25E-42,0.743360063,0.254,0.046,6.52E-38,6,Klf15
Heyl,2.58E-87,0.742733149,0.162,0.006,3.96E-83,6,Heyl
Bsg1,1.06E-18,0.739495083,0.758,0.489,1.63E-14,6,Bsg
Hs3st3a1,1.12E-100,0.739317736,0.175,0.006,1.71E-96,6,Hs3st3a1
Efna5,2.06E-87,0.739269057,0.162,0.006,3.16E-83,6,Efna5
Daam1,9.04E-27,0.736828466,0.238,0.058,1.39E-22,6,Daam1
Sema3d1,4.14E-53,0.734836157,0.196,0.021,6.35E-49,6,Sema3d
Phpt12,4.68E-25,0.734556243,0.329,0.106,7.19E-21,6,Phpt1
Bmpr1a1,1.11E-50,0.734291223,0.162,0.015,1.70E-46,6,Bmpr1a
Adamts10,3.13E-42,0.730169142,0.242,0.041,4.80E-38,6,Adamts10
Higd1a1,2.93E-22,0.729264057,0.571,0.263,4.49E-18,6,Higd1a
Sox5,3.82E-86,0.728996925,0.183,0.009,5.87E-82,6,Sox5
Aldh22,1.09E-22,0.728629098,0.787,0.504,1.67E-18,6,Aldh2
Mid1ip11,2.91E-35,0.728204444,0.233,0.046,4.46E-31,6,Mid1ip1
Dennd1a,1.86E-39,0.728192675,0.25,0.047,2.85E-35,6,Dennd1a
Sgce2,9.10E-33,0.72387049,0.258,0.057,1.40E-28,6,Sgce
Egfem1,1.03E-91,0.720010116,0.158,0.005,1.58E-87,6,Egfem1
Pik3r11,1.54E-22,0.719700867,0.396,0.15,2.36E-18,6,Pik3r1
Stbd12,3.71E-31,0.718582686,0.196,0.037,5.70E-27,6,Stbd1
Gm98444,8.89E-28,0.717518192,0.379,0.122,1.36E-23,6,Gm9844
Manbal,6.96E-31,0.715930526,0.354,0.102,1.07E-26,6,Manbal
Mettl201,4.66E-31,0.71002852,0.171,0.029,7.15E-27,6,Mettl20
Rbpms1,8.51E-26,0.709551205,0.508,0.205,1.31E-21,6,Rbpms
Prr52,2.07E-37,0.708903059,0.212,0.036,3.17E-33,6,Prr5
Spcs11,1.22E-19,0.706711759,0.55,0.273,1.87E-15,6,Spcs1
Nupr11,1.01E-61,0.706214213,0.175,0.014,1.55E-57,6,Nupr1
Plin22,3.67E-19,0.705663985,0.475,0.217,5.62E-15,6,Plin2
Ubc1,1.42E-16,0.705330021,0.804,0.565,2.18E-12,6,Ubc
Pmp223,2.56E-32,0.704779658,0.288,0.069,3.92E-28,6,Pmp22
Itgb3,5.09E-26,0.703752869,0.242,0.061,7.82E-22,6,Itgb3
Rbbp72,1.78E-18,0.702857025,0.312,0.118,2.74E-14,6,Rbbp7
Id32,4.41E-23,0.702512368,0.933,0.732,6.76E-19,6,Id3
Rnd3,4.89E-26,0.700549985,0.321,0.098,7.51E-22,6,Rnd3
Laptm4b1,6.50E-31,0.698594474,0.262,0.061,9.98E-27,6,Laptm4b
Bloc1s11,2.07E-19,0.694920825,0.558,0.268,3.18E-15,6,Bloc1s1
Erdr12,5.58E-22,0.690612234,0.517,0.226,8.56E-18,6,Erdr1
Mageh1,4.46E-38,0.690008114,0.221,0.038,6.84E-34,6,Mageh1
Olfml1,4.83E-102,0.687654748,0.175,0.006,7.41E-98,6,Olfml1
H2-Q72,7.72E-17,0.687376224,0.583,0.307,1.18E-12,6,H2-Q7
Anxa63,1.21E-24,0.687238175,0.321,0.103,1.86E-20,6,Anxa6
Rpn21,5.99E-18,0.686868218,0.517,0.261,9.20E-14,6,Rpn2
Plekhh2,1.42E-86,0.683893556,0.183,0.009,2.17E-82,6,Plekhh2
Lrp4,1.87E-52,0.683320868,0.15,0.012,2.87E-48,6,Lrp4
4930523C07Rik4,4.44E-24,0.682912956,0.333,0.108,6.81E-20,6,4930523C07Rik
Klhdc8b,5.01E-70,0.682896665,0.171,0.011,7.69E-66,6,Klhdc8b
Xaf1,3.88E-21,0.680069996,0.342,0.121,5.96E-17,6,Xaf1
Mapk8ip1,1.62E-111,0.680055239,0.175,0.005,2.49E-107,6,Mapk8ip1
Slc9a3r22,2.63E-23,0.677635114,0.762,0.4,4.04E-19,6,Slc9a3r2
Marveld1,1.59E-20,0.676532668,0.283,0.093,2.45E-16,6,Marveld1
Adora2a1,5.29E-34,0.674772581,0.221,0.042,8.12E-30,6,Adora2a
Msi22,1.77E-24,0.673815321,0.225,0.057,2.72E-20,6,Msi2
Jam3,2.55E-52,0.670576964,0.179,0.018,3.92E-48,6,Jam3
Mif3,5.77E-24,0.667796399,0.625,0.294,8.85E-20,6,Mif
Gabra3,1.85E-74,0.664962434,0.121,0.004,2.84E-70,6,Gabra3
Maged11,1.26E-23,0.664155343,0.288,0.087,1.93E-19,6,Maged1
Vcl2,4.22E-23,0.664080166,0.288,0.088,6.48E-19,6,Vcl
Adcy5,5.17E-71,0.663509747,0.15,0.008,7.93E-67,6,Adcy5
Abhd11os2,7.22E-45,0.662801168,0.188,0.024,1.11E-40,6,Abhd11os
Trp53i112,7.43E-19,0.662316294,0.412,0.173,1.14E-14,6,Trp53i11
Gata61,6.86E-90,0.660654906,0.171,0.007,1.05E-85,6,Gata6
Eif4e31,3.75E-28,0.659977968,0.242,0.057,5.76E-24,6,Eif4e3
Pdia31,6.71E-15,0.659900131,0.679,0.447,1.03E-10,6,Pdia3
